pre,value
16,574
31,535
05,496
03,490
02,470
20,461
14,453
04,448
17,443
15,431
35,428
36,425
10,377
29,377
30,358
26,350
24,339
18,313
23,309
25,294
08,294
19,282
32,277
11,269
34,263
07,258
06,258
33,239
28,228
13,226
09,226
01,194
21,171
37,167
12,150
27,124
22,115
