AllPunc,Apostro,Colon,Comma,Dash,Party,Exclam,OtherP,Parenth,Period,QMark,Quote,SemiC,achieve,adj,adverb,affect,affiliation,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogproc,compare,conj,death,differ,discrep,drives,family,feel,female,filler,focusfuture,focuspast,focuspresent,friend,function,health,hear,home,i,informal,ingest,insight,interrog,ipron,leisure,male,money,motion,negate,negemo,netspeak,nonflu,number,percept,posemo,power,ppron,prep,pronoun,quant,relativ,relig,reward,risk,sad,see,sexual,shehe,social,space,swear,tentat,they,time,userid,verb,we,work,you
0.21648408,0.015127804,0.007824726,0.02660407,0.013562859,Rep,0.0020865935,0.05268649,0.0020865935,0.0808555,0.0,0.0,0.015649453,0.031298906,0.027647365,0.016171101,0.051643193,0.03964528,0.005216484,0.0036515389,0.07876891,0.002608242,0.05268649,0.008868023,0.0,0.017214397,0.00991132,0.054251436,0.007824726,0.03599374,0.0010432968,0.008346374,0.0057381326,0.14710484,0.0010432968,0.0005216484,0.0015649452,0.0,0.013562859,0.014606155,0.07876891,0.0020865935,0.40584245,0.008868023,0.0031298904,0.0036515389,0.01982264,0.014084507,0.0,0.008868023,0.0057381326,0.030255608,0.006259781,0.0046948357,0.011476265,0.018779343,0.004173187,0.014606155,0.014084507,0.0,0.014084507,0.015649453,0.037037037,0.06624935,0.059989568,0.14188837,0.09024517,0.00991132,0.1476265,0.0010432968,0.013562859,0.014084507,0.0020865935,0.011997913,0.0,0.005216484,0.07772561,0.0808555,0.0,0.0057381326,0.004173187,0.051643193,Cory Gardner0,0.09859155,0.02660407,0.053729787,0.004173187
0.33025026,0.026659412,0.0016322089,0.056583244,0.0005440696,Dem,0.0016322089,0.08106638,0.01523395,0.111534275,0.0,0.0021762785,0.03318825,0.01468988,0.05984766,0.027203482,0.08269858,0.022306856,0.010881393,0.0065288357,0.04678999,0.0010881393,0.057671383,0.014145811,0.0032644179,0.013601741,0.025027204,0.085963,0.024483133,0.019586507,0.0032644179,0.019586507,0.014145811,0.11425462,0.004352557,0.0038084874,0.0,0.0,0.0130576715,0.0054406966,0.06256801,0.0,0.3068553,0.008705114,0.0016322089,0.004352557,0.0065288357,0.025027204,0.0021762785,0.017410228,0.005984766,0.026659412,0.007616975,0.016866159,0.01577802,0.012513602,0.010337323,0.04461371,0.023394994,0.0,0.012513602,0.011425463,0.037540805,0.05930359,0.033732317,0.10446137,0.06039173,0.019042438,0.11207835,0.0021762785,0.007616975,0.019042438,0.010337323,0.0054406966,0.0,0.013601741,0.05712731,0.0609358,0.0005440696,0.017954297,0.0016322089,0.039173014,Richard Blumenthal0,0.089771494,0.010881393,0.051686615,0.0010881393
0.25073922,0.027794205,0.013010053,0.0331165,0.011235955,Dem,0.001182732,0.057362508,0.0,0.08811354,0.000591366,0.011235955,0.0070963926,0.01655825,0.040212892,0.02838557,0.060910705,0.029568303,0.002365464,0.0029568302,0.07510349,0.0136014195,0.066233,0.0041395626,0.000591366,0.011827321,0.015966883,0.08870491,0.0136014195,0.040212892,0.0,0.01655825,0.014192785,0.14015375,0.0,0.004730928,0.001182732,0.0,0.013010053,0.030159669,0.08574808,0.002365464,0.4198699,0.0017740981,0.008870491,0.0035481963,0.01655825,0.026020106,0.002365464,0.01655825,0.0070963926,0.046126552,0.002365464,0.010053223,0.020106446,0.008870491,0.008870491,0.017740982,0.020106446,0.000591366,0.024246009,0.017149616,0.04198699,0.06682436,0.04671792,0.13424009,0.09284447,0.026020106,0.103489056,0.008279125,0.011235955,0.020697812,0.0035481963,0.0035481963,0.0,0.008870491,0.07806032,0.059136607,0.0,0.020697812,0.0041395626,0.039621525,Senator Chris Coons0,0.12596098,0.017149616,0.062684804,0.0
0.2299578,0.008438818,0.003164557,0.036392406,0.008438818,Rep,0.003164557,0.05485232,0.0,0.09757384,0.0021097045,0.006329114,0.00949367,0.019514767,0.051687762,0.019514767,0.049050633,0.04535865,0.00052742613,0.004746835,0.07120253,0.0010548523,0.05379747,0.011075949,0.0,0.013185654,0.011075949,0.05907173,0.02056962,0.0342827,0.0010548523,0.006329114,0.005801688,0.10970464,0.005274262,0.0021097045,0.0021097045,0.0,0.019514767,0.023206752,0.061181433,0.003164557,0.36919832,0.008438818,0.0036919832,0.00949367,0.024261603,0.028481012,0.00052742613,0.015295358,0.00949367,0.026898734,0.015295358,0.004746835,0.01371308,0.023206752,0.00685654,0.011603376,0.02742616,0.0,0.00685654,0.010021097,0.03744726,0.042194095,0.06170886,0.10970464,0.088607594,0.01793249,0.14187764,0.0073839664,0.00949367,0.0073839664,0.0015822785,0.002637131,0.00052742613,0.004219409,0.07753164,0.06698312,0.0,0.012130802,0.004219409,0.051687762,Sen. Lisa Murkowski0,0.106540084,0.021624472,0.04957806,0.0073839664
0.24740484,0.012687428,0.012687428,0.031141868,0.0074971165,Dem,0.0017301039,0.08304498,0.0,0.092848904,0.0,0.0034602077,0.002306805,0.01845444,0.031141868,0.024221454,0.057093427,0.029988466,0.008073818,0.0034602077,0.06805075,0.0074971165,0.047866207,0.021914648,0.004036909,0.012687428,0.009803922,0.07208766,0.019031141,0.042675894,0.0,0.015570934,0.015570934,0.11822376,0.0011534025,0.00057670125,0.0011534025,0.0,0.008073818,0.020761246,0.071510956,0.004036909,0.37139562,0.012687428,0.0051903115,0.002306805,0.010380623,0.021914648,0.0028835062,0.010380623,0.0051903115,0.038062282,0.0057670125,0.008073818,0.020184545,0.021914648,0.0074971165,0.020761246,0.019607844,0.0,0.014994233,0.00922722,0.03633218,0.047866207,0.039215688,0.11995386,0.07727797,0.012110727,0.12456747,0.0034602077,0.011534025,0.022491349,0.002306805,0.0017301039,0.0011534025,0.0069204154,0.07554787,0.05824683,0.0,0.013264129,0.00057670125,0.047866207,Senator Tom Carper0,0.09803922,0.016147636,0.05074971,0.0051903115
0.2565821,0.022020105,0.008137865,0.019626616,0.0033508856,Dem,0.008616563,0.061752036,0.018190522,0.09813308,0.0009573959,0.0043082815,0.011488751,0.024892293,0.050263286,0.0234562,0.059358545,0.031594064,0.0038295835,0.0,0.07228339,0.0,0.051699378,0.0119674485,0.0033508856,0.014839636,0.013403542,0.07324079,0.018190522,0.036859743,0.0057443753,0.01866922,0.007659167,0.10531355,0.0033508856,0.0019147918,0.0038295835,0.00047869794,0.0057443753,0.03303016,0.06701771,0.0009573959,0.3910962,0.0038295835,0.00047869794,0.0028721876,0.0047869794,0.027285783,0.0014360938,0.01627573,0.007659167,0.033987556,0.013403542,0.007659167,0.0047869794,0.019147918,0.006223073,0.015797032,0.02537099,0.0023934897,0.02537099,0.010052657,0.043561514,0.040689327,0.04212542,0.14265199,0.07611297,0.017233126,0.15509814,0.0038295835,0.01627573,0.0057443753,0.0047869794,0.007659167,0.0019147918,0.009095261,0.07467688,0.07754907,0.0,0.011488751,0.0047869794,0.056486357,Amy Klobuchar0,0.10674964,0.019626616,0.033987556,0.0038295835
0.2565821,0.022020105,0.008137865,0.019626616,0.0033508856,Dem,0.008616563,0.061752036,0.018190522,0.09813308,0.0009573959,0.0043082815,0.011488751,0.024892293,0.050263286,0.0234562,0.059358545,0.031594064,0.0038295835,0.0,0.07228339,0.0,0.051699378,0.0119674485,0.0033508856,0.014839636,0.013403542,0.07324079,0.018190522,0.036859743,0.0057443753,0.01866922,0.007659167,0.10531355,0.0033508856,0.0019147918,0.0038295835,0.00047869794,0.0057443753,0.03303016,0.06701771,0.0009573959,0.3910962,0.0038295835,0.00047869794,0.0028721876,0.0047869794,0.027285783,0.0014360938,0.01627573,0.007659167,0.033987556,0.013403542,0.007659167,0.0047869794,0.019147918,0.006223073,0.015797032,0.02537099,0.0023934897,0.02537099,0.010052657,0.043561514,0.040689327,0.04212542,0.14265199,0.07611297,0.017233126,0.15509814,0.0038295835,0.01627573,0.0057443753,0.0047869794,0.007659167,0.0019147918,0.009095261,0.07467688,0.07754907,0.0,0.011488751,0.0047869794,0.056486357,Amy Klobuchar0,0.10674964,0.019626616,0.033987556,0.0038295835
0.27606952,0.012700534,0.0026737968,0.040106952,0.0026737968,Rep,0.0,0.080213904,0.0,0.12967914,0.0013368984,0.0053475937,0.0013368984,0.020053476,0.05882353,0.022727273,0.069518715,0.025401069,0.0046791444,0.0013368984,0.08221925,0.0,0.04946524,0.0046791444,0.0013368984,0.012700534,0.0046791444,0.03275401,0.01604278,0.031417113,0.0026737968,0.0046791444,0.007352941,0.105614975,0.0020053475,0.00802139,0.0013368984,0.0,0.013368984,0.018048128,0.07085562,0.006684492,0.36764705,0.0026737968,0.003342246,0.010695187,0.022058824,0.029411765,0.0006684492,0.0026737968,0.010026738,0.020721925,0.012700534,0.0046791444,0.022727273,0.01671123,0.00802139,0.012032085,0.026069518,0.0020053475,0.014037433,0.015374332,0.056818184,0.047459893,0.0394385,0.13368984,0.06016043,0.014037433,0.11363637,0.004010695,0.010695187,0.012032085,0.003342246,0.004010695,0.0,0.003342246,0.069518715,0.055481285,0.0,0.0026737968,0.0053475937,0.04144385,Jeff Flake0,0.086898394,0.007352941,0.047459893,0.0013368984
0.27678138,0.023751818,0.012118274,0.017935047,0.0058167716,Rep,0.0019389238,0.10373243,0.0,0.09355308,0.0,0.007270965,0.010664081,0.025690742,0.026660204,0.030053321,0.06495395,0.0407174,0.0,0.0,0.078526415,0.0038778477,0.062045563,0.0058167716,0.00048473096,0.011148812,0.01987397,0.06398449,0.010664081,0.044110518,0.00048473096,0.011633543,0.0048473096,0.12118275,0.0019389238,0.0029083858,0.0038778477,0.0,0.015996123,0.032961708,0.08482792,0.0029083858,0.427048,0.0033931169,0.0048473096,0.0077556954,0.025690742,0.028114397,0.0009694619,0.015026661,0.012118274,0.05380514,0.0038778477,0.0029083858,0.01454193,0.009694619,0.0024236548,0.0029083858,0.025690742,0.0024236548,0.012603005,0.017450316,0.062045563,0.051866215,0.056713525,0.1299079,0.110518664,0.0135724675,0.096946195,0.0058167716,0.018904507,0.0029083858,0.0014541929,0.007270965,0.0,0.0024236548,0.081919536,0.05816772,0.0,0.0067862337,0.0033931169,0.02908386,Senator John Boozman0,0.11488124,0.01987397,0.051381484,0.0053320406
0.2099872,0.021340162,0.0046948357,0.028595818,0.00042680325,Dem,0.005121639,0.045667946,0.0,0.09731114,0.001707213,0.0042680325,0.0008536065,0.01579172,0.043107126,0.036278274,0.049082372,0.03798549,0.014938113,0.0046948357,0.07212975,0.0029876227,0.07725139,0.009816474,0.0025608195,0.014084507,0.021766966,0.083653435,0.015364917,0.041826718,0.0008536065,0.023047375,0.021766966,0.12932138,0.0021340162,0.0021340162,0.0,0.0,0.017925736,0.0264618,0.09133589,0.0025608195,0.4472898,0.0046948357,0.006828852,0.006828852,0.008109261,0.018779343,0.0029876227,0.006828852,0.0076824585,0.034571063,0.0076824585,0.018779343,0.016218523,0.020913359,0.018779343,0.023900982,0.018779343,0.0,0.0128040975,0.014084507,0.024327785,0.064020485,0.06786171,0.1310286,0.10243278,0.011523687,0.13871105,0.0008536065,0.009816474,0.009816474,0.003414426,0.0046948357,0.0,0.017925736,0.09475032,0.05676483,0.0,0.010243278,0.0055484422,0.0661545,Chris Van Hollen0,0.14169867,0.029022621,0.046521552,0.0072556552
