AllPunc,Apostro,Colon,Comma,Dash,Exclam,OtherP,Parenth,Period,QMark,Quote,SemiC,achieve,adj,adverb,affect,affiliation,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogproc,compare,conj,death,differ,discrep,drives,family,feel,female,filler,focusfuture,focuspast,focuspresent,friend,function,health,hear,home,i,informal,ingest,insight,interrog,ipron,leisure,male,money,motion,negate,negemo,netspeak,nonflu,number,party,percept,posemo,power,ppron,prep,pronoun,quant,relativ,relig,reward,risk,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
0.07098766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07098766,0.0,0.0,0.0,0.022222223,0.027777778,0.025308643,0.058641974,0.038271606,0.0067901234,0.0037037036,0.06419753,0.0,0.049382716,0.02037037,0.002469136,0.015432099,0.013580247,0.07160494,0.012345679,0.0345679,0.0018518518,0.017901234,0.0067901234,0.13580246,0.002469136,0.0030864198,0.002469136,0.0,0.008024692,0.024691358,0.06790123,0.0,0.39506173,0.014197531,0.001234568,0.0037037036,0.000617284,0.002469136,0.0018518518,0.012345679,0.008641975,0.027160494,0.0067901234,0.001234568,0.017901234,0.015432099,0.0129629625,0.024074074,0.000617284,0.0018518518,0.024074074,democrats,0.011728395,0.0345679,0.052469134,0.044444446,0.1537037,0.07160494,0.0129629625,0.12962963,0.000617284,0.011728395,0.025925925,0.0074074073,0.0061728396,0.001234568,0.0018518518,0.085185185,0.055555556,0.0,0.014814815,0.0055555557,0.06481481,0.09691358,0.029012345,0.06419753,0.0074074073
0.06596142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06596142,0.0,0.0,0.0,0.023024268,0.031113876,0.021157436,0.0609832,0.06533914,0.0049782204,0.0031113876,0.059116367,0.0,0.047293093,0.020535158,0.00062227756,0.008089608,0.021157436,0.06782825,0.011823273,0.041692596,0.0024891102,0.014934661,0.011823273,0.15556939,0.0037336652,0.0024891102,0.0037336652,0.0,0.009956441,0.010578718,0.070317365,0.0037336652,0.39763534,0.01244555,0.0056004976,0.008711886,0.0031113876,0.0,0.0037336652,0.010578718,0.006222775,0.03298071,0.008711886,0.0018668326,0.019912882,0.011823273,0.0037336652,0.019912882,0.0,0.0,0.019290604,democrats,0.009956441,0.041070316,0.051026758,0.057249535,0.14623523,0.09023024,0.014312384,0.11138768,0.0018668326,0.009334163,0.023024268,0.0049782204,0.0018668326,0.0024891102,0.0018668326,0.116988175,0.06720597,0.0,0.014934661,0.006222775,0.042314872,0.08898569,0.038581207,0.05289359,0.0074673304
0.06495633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06495633,0.0,0.0,0.0,0.031659387,0.038755458,0.02510917,0.06277292,0.066593885,0.008187773,0.0021834061,0.055131003,0.0,0.05676856,0.02838428,0.0010917031,0.018013101,0.009279476,0.062227074,0.016375545,0.04366812,0.00054585154,0.011462882,0.012554585,0.1621179,0.0043668123,0.0043668123,0.0043668123,0.0,0.010371179,0.019104803,0.082969435,0.0043668123,0.41703057,0.026746726,0.0049126637,0.005458515,0.0043668123,0.0016375546,0.00054585154,0.009825327,0.008187773,0.022925764,0.010371179,0.00054585154,0.01419214,0.01746725,0.0065502184,0.024017468,0.0016375546,0.0,0.015283843,democrats,0.013646288,0.038755458,0.045305677,0.06604803,0.15611354,0.0889738,0.013646288,0.1260917,0.0,0.015283843,0.02183406,0.0038209606,0.0038209606,0.0,0.0016375546,0.115720525,0.072598256,0.0,0.010371179,0.00709607,0.038755458,0.107532755,0.03930131,0.05949782,0.013646288
0.06256685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06256685,0.0,0.0,0.0,0.027272727,0.031550802,0.01764706,0.05668449,0.05828877,0.011229946,0.004278075,0.053475935,0.00053475937,0.04973262,0.009625669,0.0016042781,0.014973262,0.012299465,0.065240644,0.013368984,0.039572194,0.0010695187,0.013903744,0.00802139,0.16363636,0.0016042781,0.0021390375,0.0026737968,0.0,0.010160428,0.019786097,0.06898396,0.0010695187,0.4064171,0.0064171124,0.0021390375,0.0048128343,0.0053475937,0.0026737968,0.0021390375,0.012299465,0.010695187,0.037967913,0.0064171124,0.0,0.01764706,0.015508021,0.009625669,0.02459893,0.0010695187,0.0010695187,0.02459893,democrats,0.006951872,0.031550802,0.054545455,0.0684492,0.14545454,0.10641711,0.014973262,0.11818182,0.0010695187,0.015508021,0.026203208,0.0026737968,0.00053475937,0.0,0.0010695187,0.11283422,0.065240644,0.0,0.010695187,0.00855615,0.04278075,0.09358289,0.044919785,0.04973262,0.00855615
0.060821917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060821917,0.0,0.0,0.0,0.023013698,0.034520548,0.021369863,0.06958904,0.063013695,0.015342466,0.008767123,0.056438357,0.0005479452,0.053150684,0.01479452,0.0010958904,0.014246576,0.013150685,0.07342466,0.017534247,0.037260275,0.002739726,0.017534247,0.015342466,0.17150685,0.0043835617,0.0005479452,0.0038356164,0.0,0.0120547945,0.011506849,0.07945205,0.002739726,0.41041097,0.009863013,0.002739726,0.007123288,0.002739726,0.002739726,0.002739726,0.0120547945,0.0065753423,0.036164384,0.0060273972,0.0016438356,0.014246576,0.016986301,0.010958904,0.037260275,0.0005479452,0.0016438356,0.011506849,democrats,0.009315069,0.032328766,0.063013695,0.059726026,0.15013699,0.09589041,0.01369863,0.116164386,0.0010958904,0.013150685,0.021917809,0.0032876711,0.0060273972,0.0,0.0010958904,0.110136986,0.064109586,0.0,0.0120547945,0.0060273972,0.038904108,0.102465756,0.041643836,0.06630137,0.008219178
0.06095552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06095552,0.0,0.0,0.0,0.022515101,0.030752335,0.024711696,0.06479956,0.04557935,0.014827018,0.0038440418,0.06260297,0.0,0.05491488,0.013179571,0.002745744,0.013179571,0.014277869,0.0675453,0.013179571,0.030752335,0.0010982977,0.018121911,0.008237232,0.15101592,0.005491488,0.0043931906,0.0032948928,0.0,0.00933553,0.02306425,0.07907743,0.0021965953,0.40801758,0.008237232,0.0032948928,0.00933553,0.0032948928,0.0005491488,0.0010982977,0.00933553,0.008237232,0.04173531,0.006040637,0.002745744,0.0104338275,0.014827018,0.014277869,0.034596376,0.0,0.0005491488,0.020318506,democrats,0.01372872,0.030203186,0.06699616,0.052718285,0.14222954,0.094453596,0.015376167,0.123558484,0.0005491488,0.008786381,0.025260845,0.0065897857,0.0043931906,0.0005491488,0.0032948928,0.08896211,0.06205382,0.0,0.011532125,0.005491488,0.048874244,0.10598572,0.034047227,0.049423393,0.0065897857
0.06478405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06478405,0.0,0.0,0.0,0.018826135,0.03156146,0.016057586,0.06866002,0.059800666,0.012735327,0.004983389,0.059800666,0.00055370986,0.06478405,0.007751938,0.0011074197,0.016057586,0.012735327,0.07087486,0.017165005,0.022702103,0.0022148394,0.017718716,0.007751938,0.16722038,0.010520487,0.0016611295,0.0016611295,0.0,0.014950166,0.010520487,0.0786268,0.0027685494,0.40919158,0.006090808,0.003875969,0.008305647,0.003322259,0.0016611295,0.00055370986,0.015503876,0.009966778,0.03875969,0.011627907,0.00055370986,0.012181616,0.013842747,0.012181616,0.033776302,0.0,0.0011074197,0.014950166,democrats,0.008305647,0.03433001,0.07364341,0.053709857,0.15393133,0.09246954,0.017165005,0.10852713,0.003875969,0.008305647,0.017718716,0.0055370987,0.0016611295,0.0,0.00055370986,0.10631229,0.062569216,0.0,0.0055370987,0.009413067,0.036544852,0.104097456,0.03765227,0.062015504,0.0027685494
0.12016807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12016807,0.0,0.0,0.0,0.027731093,0.04117647,0.02605042,0.06638656,0.053781513,0.009243698,0.0016806723,0.04621849,0.0025210085,0.064705886,0.010084034,0.0016806723,0.015966387,0.009243698,0.075630255,0.02184874,0.03529412,0.0025210085,0.014285714,0.014285714,0.1277311,0.008403362,0.00084033614,0.00084033614,0.0,0.012605042,0.019327732,0.0882353,0.004201681,0.4252101,0.005882353,0.0033613446,0.004201681,0.02605042,0.005042017,0.00084033614,0.011764706,0.01092437,0.042016808,0.016806724,0.014285714,0.011764706,0.01512605,0.010084034,0.016806724,0.0016806723,0.0,0.016806724,democrats,0.005882353,0.049579833,0.04117647,0.067226894,0.15546219,0.1092437,0.020168068,0.10672269,0.0,0.020168068,0.009243698,0.0016806723,0.0016806723,0.00084033614,0.008403362,0.10672269,0.064705886,0.0016806723,0.018487396,0.004201681,0.031932775,0.1277311,0.018487396,0.033613447,0.010084034
0.12553741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12553741,0.0,0.0,0.0,0.02149613,0.046431642,0.043852106,0.07050731,0.04127257,0.004299226,0.00085984526,0.049871024,0.004299226,0.08082545,0.0060189166,0.00085984526,0.014617369,0.013757524,0.10662081,0.030094583,0.039552882,0.0025795356,0.029234737,0.015477214,0.09716251,0.004299226,0.0025795356,0.003439381,0.0,0.020636285,0.022355976,0.112639725,0.0017196905,0.4617369,0.0025795356,0.003439381,0.004299226,0.036973346,0.009458298,0.00085984526,0.018916596,0.010318142,0.04299226,0.007738607,0.006878762,0.017196905,0.014617369,0.011177988,0.012897679,0.003439381,0.00085984526,0.024935512,democrats,0.009458298,0.05760963,0.031814273,0.10060189,0.11607911,0.14359415,0.030094583,0.12209802,0.00085984526,0.01633706,0.003439381,0.003439381,0.0025795356,0.0,0.003439381,0.10748065,0.05417025,0.0,0.024935512,0.006878762,0.05760963,0.15047291,0.020636285,0.028374892,0.03267412
0.12183692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12183692,0.0,0.0,0.0,0.018744143,0.045923147,0.0393627,0.04873477,0.016869728,0.008434864,0.0037488285,0.057169635,0.00093720714,0.08809747,0.011246486,0.0028116214,0.014995314,0.014995314,0.10777882,0.025304593,0.044048734,0.00093720714,0.027179006,0.01593252,0.079662606,0.0028116214,0.0028116214,0.0046860357,0.0,0.016869728,0.028116213,0.11621369,0.0018744143,0.4498594,0.0037488285,0.007497657,0.005623243,0.01593252,0.0046860357,0.0037488285,0.018744143,0.01593252,0.05904405,0.005623243,0.010309278,0.0131209,0.018744143,0.018744143,0.021555765,0.0018744143,0.0018744143,0.016869728,democrats,0.018744143,0.0262418,0.041237112,0.054358013,0.12371134,0.11340206,0.017806936,0.11996251,0.0,0.010309278,0.007497657,0.00093720714,0.00656045,0.00093720714,0.007497657,0.10215557,0.05904405,0.0,0.03186504,0.0131209,0.044048734,0.15651359,0.00656045,0.044985943,0.011246486
0.11052166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11052166,0.0,0.0,0.0,0.016799293,0.04862953,0.030061891,0.051282052,0.024756853,0.009725906,0.0044208663,0.07692308,0.0008841733,0.071618035,0.015030946,0.0044208663,0.011494253,0.0088417325,0.06896552,0.02387268,0.037135277,0.0044208663,0.02387268,0.012378426,0.086648986,0.0026525198,0.00795756,0.0008841733,0.0,0.0035366933,0.019451812,0.10344828,0.0008841733,0.4297082,0.0088417325,0.0053050397,0.0017683466,0.015030946,0.0044208663,0.0008841733,0.0088417325,0.0053050397,0.036251105,0.011494253,0.012378426,0.016799293,0.02387268,0.012378426,0.017683465,0.0017683466,0.0008841733,0.022988506,democrats,0.021220159,0.03271441,0.044208664,0.061007958,0.1290893,0.09725906,0.009725906,0.11494253,0.0,0.010610079,0.006189213,0.0008841733,0.00795756,0.0026525198,0.0088417325,0.09637489,0.055702917,0.0008841733,0.012378426,0.0088417325,0.0397878,0.13439435,0.00795756,0.030061891,0.020335985
0.1160444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1160444,0.0,0.0,0.0,0.014127145,0.031281535,0.033299696,0.054490414,0.025227044,0.0060544903,0.0010090817,0.05650858,0.0,0.06861756,0.010090818,0.0070635723,0.019172553,0.016145308,0.077699296,0.014127145,0.022199798,0.0020181634,0.013118062,0.009081735,0.08879919,0.0020181634,0.0020181634,0.0020181634,0.0,0.013118062,0.021190716,0.100908175,0.0030272452,0.407669,0.0010090817,0.010090818,0.005045409,0.010090818,0.008072654,0.0,0.016145308,0.016145308,0.039354187,0.0060544903,0.015136226,0.016145308,0.031281535,0.011099899,0.030272452,0.005045409,0.0,0.021190716,democrats,0.020181635,0.021190716,0.03531786,0.06659939,0.1321897,0.10595358,0.01816347,0.14026237,0.0010090817,0.010090818,0.009081735,0.005045409,0.008072654,0.0020181634,0.015136226,0.10191725,0.065590315,0.0020181634,0.009081735,0.014127145,0.045408677,0.14530776,0.014127145,0.042381432,0.013118062
0.145917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145917,0.0,0.0,0.0,0.017402945,0.04016064,0.026773762,0.0789826,0.02008032,0.013386881,0.010709505,0.072289154,0.0013386881,0.0562249,0.017402945,0.009370817,0.010709505,0.008032128,0.065595716,0.010709505,0.025435073,0.0013386881,0.008032128,0.017402945,0.08567604,0.0013386881,0.0066934405,0.0013386881,0.0,0.014725569,0.018741634,0.0896921,0.0013386881,0.34538153,0.0053547523,0.0053547523,0.0066934405,0.010709505,0.0066934405,0.0013386881,0.02008032,0.013386881,0.03480589,0.0066934405,0.009370817,0.0053547523,0.02141901,0.010709505,0.0562249,0.004016064,0.0013386881,0.016064256,democrats,0.02008032,0.022757698,0.045515396,0.037483267,0.09638554,0.072289154,0.014725569,0.12583669,0.0013386881,0.010709505,0.008032128,0.009370817,0.008032128,0.0026773761,0.0053547523,0.065595716,0.04283802,0.0013386881,0.012048192,0.0053547523,0.06291834,0.12048193,0.0026773761,0.033467203,0.013386881
0.13136457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13136457,0.0,0.0,0.0,0.022403259,0.047861505,0.03767821,0.071283095,0.02749491,0.00814664,0.00101833,0.062118128,0.0,0.08146639,0.017311608,0.0061099795,0.015274949,0.017311608,0.09572301,0.025458248,0.033604886,0.00203666,0.029531568,0.012219959,0.09368636,0.00203666,0.00407332,0.0030549897,0.0,0.00814664,0.043788187,0.120162934,0.0030549897,0.45315683,0.011201629,0.014256619,0.0061099795,0.028513238,0.0050916495,0.0,0.010183299,0.014256619,0.03767821,0.00407332,0.00814664,0.011201629,0.017311608,0.01934827,0.01934827,0.0030549897,0.00203666,0.011201629,democrats,0.03156823,0.050916497,0.03767821,0.086558044,0.13034624,0.124236256,0.022403259,0.12525459,0.0,0.017311608,0.0061099795,0.00101833,0.012219959,0.0,0.0071283095,0.098778,0.062118128,0.00101833,0.01934827,0.0061099795,0.049898166,0.17209776,0.021384928,0.020366598,0.02342159
0.1185738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185738,0.0,0.0,0.0,0.029850746,0.033996683,0.026533997,0.051409617,0.05058043,0.006633499,0.0033167496,0.06384743,0.0016583748,0.0721393,0.006633499,0.0008291874,0.014925373,0.019900497,0.077114426,0.019900497,0.038971808,0.0024875621,0.018242123,0.014096186,0.13930348,0.006633499,0.0016583748,0.0008291874,0.0,0.019900497,0.019900497,0.09701493,0.004145937,0.4079602,0.005804312,0.009121061,0.012437811,0.0049751243,0.0049751243,0.0,0.011608624,0.012437811,0.033167496,0.012437811,0.018242123,0.012437811,0.017412934,0.0099502485,0.016583748,0.0024875621,0.0,0.01907131,democrats,0.014925373,0.033996683,0.052238807,0.0655058,0.12852405,0.0986733,0.014096186,0.11608624,0.0016583748,0.01575456,0.004145937,0.0049751243,0.004145937,0.0,0.014096186,0.11028192,0.05721393,0.0,0.011608624,0.0049751243,0.042288557,0.13018242,0.03150912,0.056384742,0.0099502485
