,index,democrats,republicans,Avg,Difference(dem-rep),dem_sd,rep_sd,Avg_sd
0,active,-2.6210654062530505,-2.2746263279280754,-2.447845867090563,-0.3464390783249751,0.6335521976600268,0.5306453685332394,0.5820987830966331
1,adjustment,1.607987972976839,2.9665002534059868,2.287244113191413,-1.3585122804291478,1.2890141678319311,1.1302535934732103,1.2096338806525706
2,adventurous,0.9577105455549287,1.5944474759803038,1.2760790107676163,-0.636736930425375,0.5771388633566947,0.5798536255954011,0.578496244476048
3,aggressive,5.206867126369278,3.5064511858114753,4.356659156090377,1.7004159405578023,1.486770817947933,1.1050369861323688,1.295903902040151
4,agreeableness,-7.630911747674491,-7.42392857000945,-7.527420158841971,-0.20698317766504104,0.7992350059694424,0.6172424385715379,0.7082387222704902
5,ambitious,5.905770224418092,6.539281412370055,6.2225258183940735,-0.6335111879519637,1.3092427414367562,1.2820459523767254,1.295644346906741
6,anxious,5.967918083668424,5.266576190438595,5.61724713705351,0.701341893229829,0.8980346233863628,0.9337603811151454,0.9158975022507541
7,artistic,3.3385126382323995,3.458571437423922,3.398542037828161,-0.12005879919152251,0.6012159716995018,0.6004933396761017,0.6008546556878018
8,assertive,3.138043604531509,2.972159262801761,3.0551014336666347,0.1658843417297482,0.509512590574793,0.4142754340114945,0.46189401229314375
9,body_focus,0.19107657028076913,0.13984861874903462,0.16546259451490186,0.05122795153173451,0.133233473396858,0.07118482257938802,0.10220914798812301
10,cautious,6.120894877076349,5.110238373943104,5.615566625509727,1.0106565031332453,1.0478899315769938,1.1242721921484784,1.0860810618627361
11,cheerful,-1.1838754154465467,-0.6457163493020797,-0.9147958823743132,-0.5381590661444671,0.5929870604903738,0.6339201009719783,0.6134535807311761
12,cold,-2.3972692061322047,-2.9228578910153287,-2.660063548573767,0.5255886848831239,0.9751413149266556,1.018176547892549,0.9966589314096024
13,conscientiousness,2.3966177739230177,2.608194866648114,2.5024063202855658,-0.21157709272509617,0.417684872301394,0.3556080632621125,0.38664646778175327
14,cooperative,3.2949435292751703,4.088640516387819,3.6917920228314944,-0.7936969871126482,1.2658193869457788,1.364990551321941,1.3154049691338598
15,depression,3.0745631887469145,1.5689570418682064,2.32176011530756,1.505606146878708,1.1107125899337558,1.0133984854009643,1.06205553766736
16,disciplined,3.8565587461126776,4.4919881935526735,4.174273469832675,-0.635429447439996,0.601034257688275,0.6019722754862922,0.6015032665872836
17,dutiful,1.5845445194179504,2.384808433096582,1.9846764762572664,-0.8002639136786318,0.9131101433188898,0.7677283367788564,0.8404192400488731
18,emotionally_aware,-1.0068316241635606,-0.6127773370398252,-0.8098044806016929,-0.39405428712373547,0.48809849017208823,0.5925724274170564,0.5403354587945723
19,empathetic,-3.0678778743201067,-3.0785755722949695,-3.0732267233075383,0.010697697974862752,0.28285530407740767,0.26556920183434124,0.2742122529558745
20,energetic,-0.7846350413020957,-0.13925568662382776,-0.4619453639629617,-0.645379354678268,0.8396721139948053,0.8099783650632147,0.8248252395290101
