,created_at,full_text,party,screen_name
26,Wed Oct 31 01:44:56 +0000 2018,"RT @rizwanjaka: Oct29-Loudoun Vigil For Pittsburgh: ""Facing Hate With Faith"" Thank You to Congresswoman @RepComstock
for Your Remarks &amp; Ded…",republicans,RepComstock
27,Mon Oct 29 22:01:52 +0000 2018,"We all stand united -- all faiths, creeds, and races -- against the anti-Semitic massacre in Pittsburgh that took the lives of 11 precious souls. Today Deputy AG Rod Rosenstein...launched a website consolidating information for reporting hate crimes. #VA10 https://t.co/YWQx1hpryq https://t.co/0gdxlGve5y",republicans,RepComstock
28,Sat Oct 27 21:50:47 +0000 2018,Joined Supervisor Tony Buffington at the 5th Annual Loudoun Salute to Military Veterans and Families sponsored by the Ashburn American Legion Post 2001 where they gave special recognition to 99 year old WWII veteran Norm Duncan. #VA10 https://t.co/Xyylx0IKrb,republicans,RepComstock
29,Sat Oct 27 18:11:49 +0000 2018,RT @rizwanjaka: Thoughts&amp;Prayers With The Jewish Community. I was at NVHC Synagogue  for Shabbat Service. Fairfax Police there for extra se…,republicans,RepComstock
30,Sat Oct 27 18:11:43 +0000 2018,Our hearts break for the victims of this anti-Semitic act of evil that occurred at the Tree of Life Synagogue in Pittsburgh this morning. #VA10 https://t.co/VyRHI3FXl1,republicans,RepComstock
31,Sat Oct 27 15:11:29 +0000 2018,Thank you to all of our law enforcement throughout the District who are taking part in #DrugTakebackDay See here for a location near you where you can drop off unused medications: https://t.co/WiIR1Bsixp #VA10 @LoudounSheriff https://t.co/aRezdIi4ND,republicans,RepComstock
32,Sat Oct 27 14:40:24 +0000 2018,RT @LoudounSheriff: Happening soon: National Prescription Drug #TakeBackDay is TODAY from 10 a.m. to 2 p.m. Check your medicine cabinet for…,republicans,RepComstock
33,Sat Oct 27 13:12:05 +0000 2018,"Reminder: Drug Take Back Day is today, see here for a location near you where you can drop off unused medications: https://t.co/WiIR1Bsixp #VA10",republicans,RepComstock
34,Fri Oct 26 20:19:52 +0000 2018,"Thankful to Federal, State, and Local law enforcement – the brave men and women who apprehended the criminal who sought to bring violence and terrorism against political leaders, the media, and our fellow countrymen. https://t.co/DQ4DdtX78c #VA10 https://t.co/5yM4RzFSbh",republicans,RepComstock
35,Fri Oct 26 18:06:14 +0000 2018,I was honored to designate Loudoun County Public Library as a Federal Depository Library.  #VA10 https://t.co/DXFt20YDGP,republicans,RepComstock
36,Fri Oct 26 12:47:01 +0000 2018,"Bloomberg: ""The U.S. economy expanded at a 3.5 percent pace in the third quarter as consumers opened their wallets, businesses restocked inventories and governments boosted spending, marking the strongest back-to-back quarters of growth since 2014."" https://t.co/pEcw1jmDwf #VA10",republicans,RepComstock
