,created_at,full_text,party,screen_name
25,Fri Dec 14 18:13:56 +0000 2018,Check out ⁦@orlpolitics⁩ article “Rep. Soto Passes Five Bills in Final Farm Bill” ! ! ! https://t.co/8Reow1eS7i,democrats,RepDarrenSoto
26,Fri Dec 14 18:10:08 +0000 2018,RT @thebeatdc: Congressmen Darren Soto (@RepDarrenSoto) and Ted Budd (@RepTedBudd) intro a bipartisan measure to regulate cryptocurrency. h…,democrats,RepDarrenSoto
27,Fri Dec 14 18:09:49 +0000 2018,Congrats to recent @valenciacollege grads of the Advanced Manufacturing Training Center including numerous veterans! https://t.co/w8oWOnrcFX,democrats,RepDarrenSoto
28,Fri Dec 14 14:58:54 +0000 2018,RT @NationalOrganic: #FarmBill has language directing USDA to speed up development of farmer-ready seeds that will help farms be more produ…,democrats,RepDarrenSoto
29,Fri Dec 14 14:57:41 +0000 2018,RT @feedhopenow: Thank you @repdarrensoto for standing with Central Florida families by supporting the bipartisan #FarmBill. The bill prote…,democrats,RepDarrenSoto
30,Fri Dec 14 14:57:36 +0000 2018,"RT @RepDerekKilmer: In my latest edition of Quick Questions about Congress, I hosted my friend and fellow @HouseNewDems member @RepDarrenSo…",democrats,RepDarrenSoto
31,Thu Dec 13 16:25:37 +0000 2018,RT @sustainableag: We're grateful to all House lawmakers who helped champion sustainable ag and food priorities in the #2018farmbill. Shout…,democrats,RepDarrenSoto
32,Thu Dec 13 16:23:30 +0000 2018,Proud to get the job done for Central Florida! https://t.co/mOhp5Gpo05,democrats,RepDarrenSoto
33,Wed Dec 12 16:27:03 +0000 2018,Es un orgullo y honor trabajar con mi familia Boricua en el Congreso 🇺🇸🇵🇷 Que viva Puerto Rico! https://t.co/U1KL7Ai0tn,democrats,RepDarrenSoto
34,Wed Dec 12 16:14:19 +0000 2018,RT @feedhopenow: Central Florida is counting on @repstephmurphy @repdarrensoto @repvaldemings @congbillposey &amp; @RepWebster to support the b…,democrats,RepDarrenSoto
35,Wed Dec 12 13:41:47 +0000 2018,Washington stand-off continues as Trump threatens to veto bipartisan budget bills and shutdown the gov’t over his unnecessary medieval border wall... https://t.co/Q0Yc3OgUxS,democrats,RepDarrenSoto
36,Tue Dec 11 23:55:28 +0000 2018,RT @RepPeteOlson: Great to take a moment w/ @RepDarrenSoto &amp; the @RedCross to thank our troops stationed overseas for their service. Every…,democrats,RepDarrenSoto
37,Tue Dec 11 22:10:16 +0000 2018,"Lucy is a bright, strong 5yr old from Central FL. She counts on St. Josephs Children’s Hospital to keep in good health. Today, I proudly voted in support of HR7217, which includes ACE Kids Act, legislation I cosponsored to improve care coordination for medically-complex children https://t.co/7DUDw9pTkg",democrats,RepDarrenSoto
