AllPunc,Apostro,Colon,Comma,Dash,Exclam,OtherP,Parenth,Period,QMark,Quote,SemiC,achieve,adj,adverb,affect,affiliation,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogproc,compare,conj,death,differ,discrep,drives,family,feel,female,filler,focusfuture,focuspast,focuspresent,friend,function,health,hear,home,i,informal,ingest,insight,interrog,ipron,leisure,male,money,motion,negate,negemo,netspeak,nonflu,number,party,percept,posemo,power,ppron,prep,pronoun,quant,relativ,relig,reward,risk,sad,see,sexual,shehe,social,space,swear,tentat,they,time,userid,verb,we,work,you
0.07606264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07606264,0.0,0.0,0.0,0.020134227,0.040268455,0.026845638,0.04474273,0.03803132,0.0022371365,0.0022371365,0.040268455,0.0,0.03803132,0.004474273,0.0022371365,0.011185682,0.008948546,0.035794184,0.020134227,0.049217,0.0067114094,0.008948546,0.013422819,0.12080537,0.0022371365,0.004474273,0.004474273,0.0,0.0067114094,0.011185682,0.058165547,0.004474273,0.3691275,0.0,0.004474273,0.004474273,0.004474273,0.0067114094,0.0,0.0,0.004474273,0.020134227,0.011185682,0.0067114094,0.013422819,0.020134227,0.004474273,0.011185682,0.0067114094,0.0,0.0246085,democrats,0.015659954,0.033557046,0.049217,0.046979867,0.15659955,0.06711409,0.013422819,0.13646533,0.0022371365,0.011185682,0.011185682,0.004474273,0.0067114094,0.0022371365,0.0067114094,0.06711409,0.08277405,0.0,0.004474273,0.0022371365,0.035794184,RepDarrenSoto0,0.07158837,0.0246085,0.046979867,0.008948546
0.0969163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0969163,0.0,0.0,0.0,0.024229076,0.04185022,0.0154185025,0.059471365,0.037444934,0.002202643,0.002202643,0.037444934,0.0,0.03524229,0.017621145,0.002202643,0.004405286,0.0066079297,0.024229076,0.02202643,0.026431719,0.0066079297,0.004405286,0.0,0.11453745,0.004405286,0.0,0.002202643,0.0,0.0066079297,0.017621145,0.059471365,0.004405286,0.30396476,0.011013215,0.0066079297,0.0066079297,0.0154185025,0.004405286,0.002202643,0.002202643,0.004405286,0.017621145,0.0154185025,0.0066079297,0.0154185025,0.0154185025,0.002202643,0.008810572,0.004405286,0.0,0.02202643,democrats,0.011013215,0.050660793,0.04845815,0.046255507,0.13436124,0.06387665,0.011013215,0.116740085,0.0,0.011013215,0.0066079297,0.004405286,0.004405286,0.0,0.0066079297,0.06167401,0.06167401,0.0,0.008810572,0.004405286,0.039647575,RepDarrenSoto1,0.07488987,0.017621145,0.04185022,0.002202643
0.091133006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091133006,0.0,0.0,0.0,0.032019705,0.02955665,0.0123152705,0.06650246,0.05172414,0.0,0.0,0.04187192,0.0024630541,0.022167487,0.0,0.0,0.0123152705,0.0024630541,0.049261082,0.0,0.02955665,0.0073891627,0.0049261083,0.009852217,0.13793103,0.0024630541,0.0024630541,0.0,0.0,0.0123152705,0.019704433,0.06896552,0.0,0.3497537,0.0,0.0,0.0049261083,0.0073891627,0.0024630541,0.0,0.0073891627,0.0049261083,0.02955665,0.0123152705,0.0,0.014778325,0.0123152705,0.0,0.0049261083,0.0,0.0,0.014778325,democrats,0.0024630541,0.061576355,0.054187194,0.061576355,0.15517241,0.091133006,0.0073891627,0.113300495,0.0,0.014778325,0.009852217,0.0,0.0,0.0,0.0,0.096059114,0.056650247,0.0,0.01724138,0.0049261083,0.04187192,RepDarrenSoto2,0.06650246,0.02955665,0.05172414,0.019704433
0.08993576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08993576,0.0,0.0,0.0,0.01927195,0.042826552,0.025695931,0.051391862,0.04496788,0.0021413276,0.0021413276,0.057815846,0.0,0.042826552,0.00856531,0.0,0.01713062,0.01713062,0.06852248,0.012847966,0.025695931,0.0,0.004282655,0.014989293,0.13276231,0.0021413276,0.0,0.0021413276,0.0,0.00856531,0.012847966,0.06852248,0.004282655,0.3961456,0.0021413276,0.00856531,0.010706638,0.01713062,0.0,0.006423983,0.010706638,0.004282655,0.01927195,0.0021413276,0.0021413276,0.01713062,0.023554605,0.0021413276,0.01713062,0.0,0.0,0.00856531,democrats,0.012847966,0.03426124,0.057815846,0.0620985,0.18201284,0.08137045,0.010706638,0.13276231,0.0,0.014989293,0.010706638,0.0021413276,0.004282655,0.0,0.004282655,0.085653104,0.06638116,0.0,0.010706638,0.00856531,0.049250536,RepDarrenSoto3,0.10492505,0.021413276,0.051391862,0.010706638
0.07436399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07436399,0.0,0.0,0.0,0.019569471,0.043052837,0.0058708414,0.072407044,0.04892368,0.0058708414,0.0,0.04109589,0.0,0.025440313,0.007827789,0.0019569471,0.015655577,0.01369863,0.058708414,0.015655577,0.03522505,0.0039138943,0.009784736,0.0039138943,0.12328767,0.0039138943,0.0,0.009784736,0.0,0.0058708414,0.01369863,0.058708414,0.0039138943,0.29745597,0.0039138943,0.0039138943,0.0039138943,0.0019569471,0.0039138943,0.0019569471,0.011741683,0.0058708414,0.01369863,0.0058708414,0.0039138943,0.021526419,0.0058708414,0.0019569471,0.017612524,0.0039138943,0.0,0.029354207,democrats,0.007827789,0.05479452,0.039138943,0.050880626,0.13111547,0.064579256,0.023483366,0.091976516,0.0,0.009784736,0.01369863,0.0058708414,0.0039138943,0.0,0.0058708414,0.1037182,0.050880626,0.0,0.007827789,0.0019569471,0.0332681,RepDarrenSoto4,0.0704501,0.029354207,0.039138943,0.011741683
0.097457625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097457625,0.0,0.0,0.0,0.029661017,0.03601695,0.014830508,0.076271184,0.06779661,0.004237288,0.0,0.021186441,0.0,0.052966103,0.023305085,0.006355932,0.004237288,0.008474576,0.04661017,0.016949153,0.03601695,0.004237288,0.012711864,0.008474576,0.13983051,0.0,0.0,0.0,0.0,0.010593221,0.010593221,0.06567796,0.004237288,0.34957626,0.010593221,0.002118644,0.008474576,0.008474576,0.0,0.004237288,0.016949153,0.008474576,0.027542373,0.008474576,0.002118644,0.002118644,0.012711864,0.010593221,0.021186441,0.0,0.0,0.019067796,democrats,0.006355932,0.055084746,0.044491526,0.074152544,0.12076271,0.10169491,0.006355932,0.12711865,0.004237288,0.010593221,0.006355932,0.006355932,0.004237288,0.002118644,0.002118644,0.11440678,0.08050848,0.0,0.014830508,0.010593221,0.03601695,RepDarrenSoto5,0.086864404,0.04661017,0.052966103,0.006355932
0.08951407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08951407,0.0,0.0,0.0,0.028132992,0.015345269,0.015345269,0.07672634,0.06905371,0.0051150895,0.0,0.03324808,0.0,0.030690538,0.010230179,0.0,0.0076726344,0.0025575447,0.046035804,0.0051150895,0.025575448,0.0,0.010230179,0.0051150895,0.13554987,0.0,0.0,0.0051150895,0.0,0.0051150895,0.010230179,0.0741688,0.0,0.35805628,0.010230179,0.0025575447,0.0025575447,0.0025575447,0.0,0.0,0.017902814,0.0076726344,0.025575448,0.0051150895,0.0025575447,0.0051150895,0.0076726344,0.0051150895,0.010230179,0.0,0.0,0.015345269,democrats,0.0051150895,0.06649616,0.046035804,0.061381076,0.16624041,0.08695652,0.0076726344,0.12531969,0.0025575447,0.010230179,0.0051150895,0.0,0.0025575447,0.0,0.0076726344,0.10997442,0.07672634,0.0,0.0076726344,0.0051150895,0.040920716,RepDarrenSoto6,0.08951407,0.030690538,0.04347826,0.015345269
0.08955224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08955224,0.0,0.0,0.0,0.017412934,0.019900497,0.017412934,0.06965174,0.049751244,0.0099502485,0.0,0.029850746,0.0,0.039800994,0.0049751243,0.0,0.0099502485,0.0074626864,0.039800994,0.0024875621,0.019900497,0.0024875621,0.0049751243,0.012437811,0.12935324,0.0024875621,0.0,0.012437811,0.0,0.0024875621,0.0099502485,0.07462686,0.0024875621,0.32587063,0.0,0.0099502485,0.0,0.017412934,0.0024875621,0.0024875621,0.0049751243,0.0,0.027363185,0.0024875621,0.0024875621,0.019900497,0.0049751243,0.0074626864,0.014925373,0.0024875621,0.0,0.012437811,democrats,0.0099502485,0.052238807,0.03731343,0.06467662,0.13681592,0.0920398,0.0074626864,0.08955224,0.0,0.012437811,0.019900497,0.0,0.0,0.0024875621,0.0099502485,0.08457711,0.05970149,0.0,0.0049751243,0.0024875621,0.024875622,RepDarrenSoto7,0.09701493,0.02238806,0.039800994,0.012437811
0.09975669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09975669,0.0,0.0,0.0,0.03406326,0.05109489,0.01703163,0.06569343,0.03406326,0.0,0.00243309,0.0729927,0.0,0.02676399,0.024330901,0.0,0.00973236,0.00243309,0.03649635,0.024330901,0.02189781,0.0,0.00729927,0.00486618,0.11678832,0.0,0.0,0.0,0.0,0.00486618,0.0121654505,0.05839416,0.0,0.32603407,0.01459854,0.00243309,0.0,0.00243309,0.0,0.00973236,0.0121654505,0.00729927,0.01703163,0.00243309,0.00486618,0.01459854,0.01946472,0.0,0.00729927,0.0,0.0,0.024330901,democrats,0.00973236,0.05596107,0.04622871,0.02919708,0.15815085,0.04622871,0.00973236,0.15328467,0.0,0.01703163,0.00729927,0.00486618,0.00486618,0.0,0.00486618,0.07542579,0.06812652,0.0,0.0,0.00243309,0.0729927,RepDarrenSoto8,0.08272506,0.01459854,0.07542579,0.00486618
0.08803612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08803612,0.0,0.0,0.0,0.04288939,0.040632054,0.015801355,0.08352145,0.05643341,0.0,0.0,0.058690745,0.0,0.03160271,0.013544018,0.004514673,0.006772009,0.018058691,0.04288939,0.013544018,0.033860046,0.006772009,0.0022573364,0.006772009,0.14446953,0.004514673,0.0,0.0,0.0,0.006772009,0.013544018,0.05643341,0.0,0.3363431,0.009029346,0.0022573364,0.009029346,0.004514673,0.0,0.0022573364,0.009029346,0.004514673,0.0112866815,0.013544018,0.0022573364,0.009029346,0.022573363,0.0022573364,0.022573363,0.0,0.0,0.022573363,democrats,0.004514673,0.06094808,0.045146726,0.049661398,0.14221218,0.06094808,0.013544018,0.14446953,0.004514673,0.013544018,0.015801355,0.013544018,0.0022573364,0.0,0.0,0.0744921,0.072234765,0.0,0.004514673,0.006772009,0.049661398,RepDarrenSoto9,0.07900677,0.027088037,0.054176074,0.0112866815
