AllPunc,Apostro,Colon,Comma,Dash,Exclam,OtherP,Parenth,Period,QMark,Quote,SemiC,achieve,adj,adverb,affect,affiliation,anger,anx,article,assent,auxverb,bio,body,cause,certain,cogproc,compare,conj,death,differ,discrep,drives,family,feel,female,filler,focusfuture,focuspast,focuspresent,friend,function,health,hear,home,i,informal,ingest,insight,interrog,ipron,leisure,male,money,motion,name,negate,negemo,netspeak,nonflu,number,party,percept,posemo,power,ppron,prep,pronoun,quant,relativ,relig,reward,risk,sad,see,sexual,shehe,social,space,swear,tentat,they,time,verb,we,work,you
0.057903714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057903714,0.0,0.0,0.0,0.025208492,0.03297953,0.022649735,0.060083397,0.05752464,0.008813495,0.0045489008,0.057998482,0.00018953753,0.05136467,0.018100834,0.0015163003,0.01535254,0.012319939,0.06690675,0.014878696,0.040087186,0.0018006065,0.015731614,0.010614102,0.15485217,0.0029378317,0.0023692192,0.0026535254,0.0,0.009287339,0.017342683,0.07486732,0.0023692192,0.4083586,0.013172858,0.0041698255,0.0056861257,0.0037907506,0.0018006065,0.0020849127,0.010614102,0.0090978015,0.031084154,0.0075815013,0.0012319939,0.015731614,0.015731614,AGBecerra,0.008623958,0.02454511,0.00066338136,0.00094768766,0.018953754,democrats,0.011656558,0.03534875,0.050890826,0.060367703,0.15295678,0.09145186,0.013267627,0.12253601,0.0005686126,0.012035633,0.024355572,0.003601213,0.004359363,0.0008529189,0.001611069,0.107846856,0.06662244,0.0,0.011846095,0.007297195,0.0452047,0.0979909,0.038949963,0.056387413,0.008718726
0.09381551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09381551,0.0,0.0,0.0,0.01865828,0.045073375,0.034486372,0.06048218,0.030607967,0.007966457,0.002725367,0.05922432,0.0013626835,0.074318655,0.011740042,0.0039832285,0.014675053,0.01278826,0.08574423,0.023480084,0.037631027,0.0025157232,0.020649895,0.014150944,0.09559748,0.003249476,0.0029350105,0.002096436,0.0,0.013417191,0.025366876,0.10356394,0.002096436,0.4254717,0.0050314465,0.006498952,0.003773585,0.02085954,0.0055555557,0.0013626835,0.014884696,0.011844864,0.043920334,0.00870021,0.011006289,0.017085955,0.018448638,AlanGrayson,0.013836478,0.0221174,0.0025157232,0.00083857443,0.021698114,democrats,0.016666668,0.037631027,0.039832287,0.065932915,0.123584904,0.10985325,0.019811321,0.117819704,0.00083857443,0.014360587,0.0060796645,0.0030398322,0.006813417,0.0013626835,0.008385744,0.09287212,0.056289308,0.0007337526,0.01918239,0.00754717,0.046226416,0.14339623,0.013417191,0.034067087,0.015723271
0.079914816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079914816,0.0,0.0,0.0,0.029141448,0.04584174,0.021183591,0.06937906,0.050100874,0.005155795,0.0013449899,0.054584175,0.0013449899,0.055480834,0.007957857,0.00078457745,0.0143465595,0.014458641,0.06713741,0.020399014,0.03183143,0.0012329074,0.015467384,0.012441156,0.13707688,0.006388702,0.0016812374,0.0047074645,0.0,0.012553239,0.02062318,0.085855186,0.0021295673,0.3918404,0.0061645373,0.0061645373,0.007733692,0.015915714,0.0049316296,0.00033624747,0.010872002,0.009751176,0.025330644,0.011992827,0.009414929,0.01165658,0.017372787,AnthonyBrownMD4,0.008518269,0.013898229,0.0025778974,0.0010087425,0.018381529,democrats,0.015691549,0.054808337,0.05167003,0.07318987,0.14245684,0.09852051,0.01613988,0.12855862,0.0048195473,0.02062318,0.007285362,0.0030262272,0.007509527,0.0005604125,0.006612867,0.10995293,0.064895764,0.00022416499,0.009751176,0.0054920423,0.04819547,0.11466039,0.027796458,0.044160504,0.017372787
0.07944765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07944765,0.0,0.0,0.0,0.025915066,0.039912988,0.01948359,0.0636527,0.05315426,0.003877802,0.0011349664,0.06526057,0.0008512248,0.048708975,0.010120117,0.001229547,0.01059302,0.011727986,0.05466755,0.020051073,0.034332734,0.003215738,0.009647215,0.007755604,0.1311832,0.0055802516,0.002648255,0.0027428356,0.0,0.010971342,0.017875722,0.08001513,0.0030265772,0.40849334,0.0063368957,0.002837416,0.008228507,0.01598411,0.0041615437,0.0018916107,0.012768372,0.0075664427,0.026387969,0.010309278,0.005863993,0.008417668,0.01938901,AustinScottGA08,0.0043507046,0.011727986,0.002648255,0.0006620638,0.012768372,republicans,0.011917148,0.051735554,0.045209497,0.07793436,0.14555945,0.10432233,0.017402818,0.13477726,0.0041615437,0.013525017,0.008985151,0.0027428356,0.005958574,9.458054e-05,0.004256124,0.110091746,0.07207037,0.0002837416,0.010025537,0.00889057,0.049749363,0.09713421,0.034616478,0.05476213,0.01418708
0.068959676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068959676,0.0,0.0,0.0,0.017960014,0.02151813,0.013724161,0.027278889,0.01948492,0.0015249068,0.0027109454,0.07980346,0.00033886818,0.0377838,0.01033548,0.0010166046,0.007963402,0.00372755,0.039986446,0.008810572,0.017282277,0.0,0.0025415113,0.004405286,0.1043714,0.0,0.0008471705,0.0005083023,0.0,0.017451711,0.009318875,0.068959676,0.0010166046,0.3151474,0.0069467975,0.039139275,0.004235852,0.005760759,0.0010166046,0.002202643,0.02117926,0.0023720772,0.015587936,0.00067773636,0.0027109454,0.064554386,0.011013215,BankingGOP,0.0020332092,0.007793968,0.00067773636,0.0,0.014571331,republicans,0.06319892,0.019315487,0.06167401,0.0154185025,0.13893595,0.031006439,0.0072856657,0.13927482,0.00033886818,0.003896984,0.006777364,0.0010166046,0.02202643,0.00016943409,0.0025415113,0.066079296,0.09386648,0.0,0.0040664184,0.0015249068,0.036597762,0.07539817,0.00372755,0.13842764,0.001863775
0.12964419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12964419,0.0,0.0,0.0,0.023098093,0.03194417,0.023392962,0.04816198,0.034008257,0.0070768627,0.0023589542,0.06919599,0.00019657952,0.05327305,0.011401612,0.0014743464,0.013170827,0.0112050325,0.062512286,0.014350304,0.029880086,0.002850403,0.011303322,0.010615294,0.116375074,0.0037350107,0.0024572439,0.0058973855,0.0,0.013858856,0.022606645,0.07637114,0.0031452724,0.3809711,0.0066837035,0.006880283,0.008551209,0.014350304,0.0034401414,0.0026538235,0.015333203,0.0096323965,0.02467073,0.011106743,0.008846078,0.013465697,0.015628072,BennieGThompson,0.0067819934,0.017692156,0.0022606645,0.0004914488,0.02064085,democrats,0.018871633,0.030371536,0.05012778,0.050324358,0.14075093,0.074995086,0.011696481,0.1266955,0.0019657952,0.010123845,0.010910163,0.0048161983,0.008944368,0.0010811874,0.009828975,0.0912129,0.063003734,0.00039315905,0.007863181,0.0050127776,0.049832907,0.11116572,0.013760566,0.053666208,0.007371732
0.05733574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05733574,0.0,0.0,0.0,0.028620329,0.04545022,0.02015784,0.06684416,0.03213844,0.0076067317,0.0023771038,0.07064752,9.508415e-05,0.0540078,0.019206999,0.0011410097,0.014167538,0.01721023,0.061329275,0.016829895,0.036987733,0.0024721879,0.00846249,0.009223162,0.12028145,0.0038033659,0.0020918513,0.0032328612,0.0,0.012931445,0.015403632,0.07730342,0.002567272,0.39146143,0.014167538,0.0027574403,0.007511648,0.011410098,0.0024721879,0.002567272,0.013121612,0.0066558905,0.029381001,0.010554341,0.004468955,0.01721023,0.01692498,BettyMcCollum04,0.004564039,0.021013597,0.0021869354,0.0001901683,0.020538175,democrats,0.009508415,0.045735475,0.051820863,0.04278787,0.14566892,0.07216887,0.013787202,0.14253114,0.0033279452,0.010364172,0.013882286,0.004564039,0.0038984502,0.00028525243,0.004564039,0.08281829,0.07235904,0.0,0.0068460586,0.005800133,0.055814397,0.105543405,0.014167538,0.05838167,0.0068460586
0.07646677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07646677,0.0,0.0,0.0,0.023171749,0.04384095,0.023913246,0.06302716,0.036889423,0.01204931,0.0042636017,0.07155436,0.000463435,0.06729076,0.012698119,0.0028732968,0.011029753,0.017425155,0.07248123,0.020020392,0.04106034,0.0027806098,0.017147094,0.013532301,0.11993697,0.0042636017,0.0027806098,0.0019464269,0.0,0.01204931,0.023264436,0.08314024,0.0028732968,0.43016034,0.008156456,0.0038001668,0.0057465937,0.013068866,0.002039114,0.002039114,0.013068866,0.006858838,0.036611363,0.010102883,0.009732135,0.020576512,0.01390305,BillPascrell,0.01232737,0.026693854,0.000556122,0.000463435,0.017517842,democrats,0.015478728,0.03605524,0.052460838,0.056168318,0.14014274,0.09277968,0.017147094,0.1305033,0.0030586708,0.011863936,0.01047363,0.004819724,0.0073222728,0.000185374,0.00741496,0.08795996,0.06321253,0.000556122,0.0095467605,0.008249142,0.05431458,0.12123459,0.02094726,0.055426825,0.00648809
0.082197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082197,0.0,0.0,0.0,0.027081149,0.038809955,0.016019834,0.046724517,0.036426052,0.003623534,0.0013349862,0.0759035,0.0,0.038809955,0.017736245,0.0014303423,0.008963479,0.010012397,0.047487367,0.014780204,0.03223038,0.0013349862,0.00820063,0.007914561,0.13063793,0.0032421092,0.0014303423,0.0021931916,0.0,0.006770287,0.023362258,0.058262613,0.0027653284,0.34843138,0.00743778,0.0052445885,0.0047678077,0.009440259,0.0016210546,0.004195671,0.012014875,0.005626013,0.021550491,0.010012397,0.0050538764,0.01487556,0.0123963,BobbyScott,0.003623534,0.011061314,0.0014303423,0.0,0.015161629,democrats,0.020024793,0.035567846,0.058357965,0.029655764,0.1409364,0.051206257,0.010107753,0.13378468,0.004195671,0.015066273,0.008963479,0.00247926,0.013159149,0.0044817394,0.0034328215,0.071993895,0.06665395,9.5356154e-05,0.005435301,0.0046724514,0.055687994,0.080289885,0.008582054,0.077238485,0.0035281777
0.0790871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0790871,0.0,0.0,0.0,0.01956218,0.033162553,0.02040056,0.05346996,0.038565442,0.008104332,0.0029809035,0.071262226,0.00037261294,0.055612482,0.008663251,0.0011178389,0.011644155,0.011271542,0.06297159,0.016860737,0.041825805,0.0027014439,0.015649743,0.011178388,0.11038659,0.002794597,0.0024219842,0.0025151374,0.0,0.012668841,0.02645552,0.07061015,0.0036329762,0.4167676,0.0058686538,0.009035864,0.0049371216,0.01900326,0.0018630647,0.0014904517,0.012575687,0.0076385653,0.030926874,0.0056823473,0.0068933396,0.014718211,0.013600373,BradSherman,0.007452259,0.021052632,0.0011178389,9.3153234e-05,0.016301816,democrats,0.017978575,0.0316721,0.044993013,0.049930137,0.15211923,0.08085701,0.012575687,0.13460642,0.0037261294,0.008942711,0.010246856,0.0032603634,0.0064275735,0.00027945972,0.0072659524,0.087377734,0.074708894,0.00027945972,0.010992082,0.004564509,0.047601305,0.101350725,0.015090824,0.054215185,0.004005589
